date,order_update,transaction_cancel,stock_status_update,order_delete,order_new,market_quote,transaction
20170120,54726.5,0,39618,5094.5,7505,5242448,470948
20170121,0,0,0,0,0,0,0
20170122,0,0,0,0,0,0,0
20170123,75921.5,0,39708,6154.5,8492,6185662.5,462145.5
20170124,51893.5,0,39771,3840,6437,5050462,506287
20170125,48062,0,39991.5,5822,7948.5,4308868.5,406015
20170126,40728.5,0,40099.5,5787,7670,4928111,473788.5
20170127,22985.5,0,39604.5,1748,2809.5,2429219,214351.5
20170128,0,0,0,0,0,0,0
20170129,0,0,0,0,0,0,0
20170130,0,0,0,0,0,0,0
20170131,0,0,0,0,0,0,0
20170201,49358.5,0,39510,2815.5,4951.5,5315944.5,509068.5
20170202,56713.5,0,39640.5,3652.5,6416,5345968.5,453744
20170203,56311,0,39424.5,5293.5,8576,6080071,524821.5
20170204,0,0,0,0,0,0,0
20170205,0,0,0,0,0,0,0
20170206,58454,0,39591,5377,8800,6478542.5,549007
20170207,48085,0,39559.5,5289,8956.5,6016415,560545
20170208,74601.5,0,39640.5,5729.5,9825.5,7343844,681327
20170209,51174.5,0,39694.5,5189,9499,7219339.5,702233
20170210,46044,0,39762,4108.5,6922,6172729,640683
20170211,0,0,0,0,0,0,0
20170212,0,0,0,0,0,0,0
20170213,54722,0,39991.5,4430,7500.5,6239460.5,615735
20170214,60472.5,0,40153.5,3785,6795,6372972,649214
20170215,61489,0,40450.5,5514.5,8874.5,7003571,764831
20170216,51811,0,40423.5,4255,7761,6316044,687112
20170217,50970.5,0,40765.5,4565.5,8726.5,6173450,603768.5
20170218,0,0,0,0,0,0,0
20170219,0,0,0,0,0,0,0
20170220,57732,0,41058,4420,7577,6043169.5,526208
20170221,53316,0,41251.5,4846.5,8480,6580491,610753
20170222,49228.5,0,41841,4814.5,7779,6104783.5,687546
20170223,55102,0,42282,4002.5,7039,7209289.5,652752
20170224,48427,0,42372,6005.5,9169.5,6050783,598682
20170225,0,0,0,0,0,0,0
20170226,0,0,0,0,0,0,0
20170227,71295,0,42561,5244,8419,7375993.5,559604
20170228,64277,0,42021,5200,8437,6780441.5,559630
20170301,69297.5,0,41976,5367.5,9673.5,7606079,568489
20170302,66298.5,0,41994,5166.5,9594,8222794.5,631818.5
